"Nazwa instytucji","Nazwa systemu AI","Przeznaczenie systemu
Krótko, np. rozpoznawanie twarzy","Opis systemu
Do czego ogólnie cały system służy, jak działa, jakie procesy wspiera?","Użycie sztucznej inteligencji 
Do czego w tym systemie i we wspieranych przez system procesach są używane komponenty oparte na sztucznej inteligencji?","Kwalifikacja ryzyka
Czy przeprowadzono kwalifikację ryzyka w odniesieniu do poziomów określonych w AI Act  - minimalne/ograniczone/wysokie/niedopuszczalne? Wybierz właściwą odpowiedź.","Ocena skutków dla ochrony danych (DPIA)
Czy przeprowadzono ocenę skutków dla ochrony danych (DPIA), wynikającą z przepisów RODO? Jeśli odpowiedź brzmi tak, to wnosimy o udostępnienie publicznego linku.","Ocena skutków dla praw podstawowych (FRIA)
Czy przeprowadzono ocenę skutków dla praw podstawowych (FRIA)? Jeśli odpowiedź brzmi tak, to wnosimy o udostępnienie publicznego linku. Zdajemy sobie sprawę, że oficjalny unijny kwestionariusz nie został jeszcze ogłoszony, jednak być może skorzystali Państwo z nieoficjalnych lub zastosowali własną metodę.","Podręcznik użytkownika / instrukcja
Czy użytkownicy systemu dysponują jakimś rodzajem podręcznika lub instrukcji? Jeśli tak, to wnosimy o podanie linku lub linków do publicznego zasobu z tego typu dokumentami.","Publiczna wiedza o systemie
Czy wedle wiedzy organu w publicznych zasobach internetu dostępne są jakiekolwiek wzmianki, opisy, dokumenty związane z systemem inne, niż wskazane w poprzednich pytaniach? Jeśli tak, to wnosimy o podanie linków.","Modele ogólnego przeznaczenia (GPAI)
Czy system korzysta z modeli AI ogólnego przeznaczenia? Jeśli tak, to wnosimy o wyliczenie nazw modeli i ich producentów.","Dostawca systemu","Koszty wytworzenia i wdrożenia
Całkowite łączne koszty brutto ponoszone po stronie organu","Koszty utrzymania
Koszty brutto ponoszone po stronie organu w ujęciu rocznym","Początek obowiązywania licencji","Koniec obowiązywania licencji"
"Regionalna Dyrekcja Lasów Państwowych w Pile","System CCTV z funkcją analizy obrazu","System służy do monitorowania i rejestrowania obrazu, wykorzystuje AI do oznaczania na nagraniach obiektów (ludzi i pojazdów).","System służy do monitorowania i rejestrowania obrazu w celu zwiększenia bezpieczeństwa osób i mienia. System pozwala na bieżącą obserwację zdarzeń oraz późniejszą analizę nagrań w przypadku incydentów. System wykorzystuje AI do oznaczania na nagraniach obiektów (ludzi i pojazdów) jest to duże ułatwienie podczas wyszukiwania nagrań z zarejestrowanymi incydentami, zmniejsza również ilość fałszywych alarmów. Dzięki niej systemy alarmują tylko przy wykryciu rzeczywistego zagrożenia ze strony człowieka lub pojazdu, co zwiększa precyzję monitoringu, oszczędza czas na analizę nagrań i pozwala na szybszą reakcję na incydenty.","Analiza obrazu i oznaczanie zdarzeń z udziałem ludzi i pojazdów.","Ryzyko minimalne","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","https://www.hikvision.com/en/products/","Organ nie posiada informacji","Nie","Producent sprzętu: Hikvision, instalator It-Mserwis Mariusz Bakiera, Sławno 13, 64-720 Lubasz","59187,60 zł brutto","brak","Instalacja i konfiguracja zakończona 16.12.2024 r.","Nie dotyczy "
"Urząd Gminy Rokietnica","AXON","Analiza obrazu","Rozpoznawanie wymienionych zdarzeń: wypadek, osoba leżąca, zatrzymanie ruchu, rozpoznawanie numerów tablic rejestracyjnych","Analiza behawioralna","Nie przeprowadzono","tak przeprowadzono wyniki nie podlegają udostępnieniu","tak przeprowadzono wyniki nie podlegają udostępnieniu","https://docs.axoniq.io/home/basics/","Organ nie posiada informacji","Nie","EXAVO","16660zł","ok. 800zł","Każda kamera ma osobną licencje","Dożywotnia licencja"
"Sąd Rejonowy w Strzelcach Opolskich","AIMON","systemem informacji prawnej","systemem informacji prawnej","Używa rozwiązań uczenia maszynowego i sieci neuronowych służących analizie tekstu (zestawu danych w celu rozpoznania, przetworzenia i oznaczenia tekstu na podstawie wytworzonych wiązań), generowaniu treści (zestawu danych w celu kategoryzacji, przetwarzania, segregowania, personalizacji i wyświetlania określonych treści dla określonych kontekstów) oraz optymalizacji procesów i automatyzacji przepływu pracy (zestawu danych w celu przewidywania wyników lub sposobów optymalizacji 
i automatyzacji przepływów pracy).","Ryzyko minimalne","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Nie","Organ nie posiada informacji","Nie","Currenda","492 zł","Nie dotyczy","15.05.2025 r.","17.12.2025 r."
"Uniwersytet Szczeciński","Chatbot studia doktoranckie ","Wspomaganie informacyjne ","Wspomaganie szkoły doktorskiej, wspomaganie doktorantów","Pomoc informacyjna ","Ryzyko minimalne","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Nie","Organ nie posiada informacji","Nie","Narzędzie w ramach uczelnianego centrum informatycznego ","Brak danych ","Brak danych",,
"Urząd Ochrony Konkurencji i Konsumentów","ARBUZ","Zautomatyzowana detekcja niedozwolonych postanowień we wzorcach umownych.","System ARBUZ jest narzędziem, które umożliwia efektywne wykrywanie
potencjalnych naruszeń praw konsumentów w postaci stosowania we wzorcach umów
niedozwolonych postanowień umownych. Projekt jest odpowiedzią na zidentyfikowaną
potrzebę przyspieszenia procesu analizy danych zawartych w dokumentach elektronicznych,
skanach, stronach internetowych, przetwarzanych przez UOKiK, a także zautomatyzowania
jak największej liczby czynności wykonywanych ręcznie. Jako danych referencyjnych
(porównawczych), system używa zgromadzonych przez Urząd wzorców umownych wraz
z klauzulami oznaczonymi jako abuzywne lub bezpieczne. Dokumenty (wzorce umowne) są
na bieżąco analizowane w systemie i automatycznie zasilają bazę referencyjną. Zastosowany
w systemie model uczenia maszynowego, rekomenduje fragmenty umowy jako abuzywne
w oparciu o zweryfikowane klauzule znajdujące się w bazie danych. Bazę danych tworzą
m.in. rejestr klauzul niedozwolonych, baza decyzji, orzeczenia sądowe. Podstawową zasadą
modelu jest ocena semantycznego (znaczeniowego) podobieństwa pomiędzy fragmentami
badanej umowy a klauzulami oznaczonymi wcześniej przez użytkowników jako abuzywne lub
bezpieczne.","Zastosowanie systemu ARBUZ umożliwia wsparcie
pracowników Urzędu we wstępnej ocenie wzorców umownych, poprzez zwrócenie uwagi
- przy zastosowaniu uczenia maszynowego (głębokich sieci neuronowych typu Transformer)
w oparciu o wcześniej stworzoną bazę - na konkretne postanowienia, które mogą mieć
charakter niedozwolony.","Ryzyko ograniczone","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Użytkownicy systemu dysponują materiałami interaktywnymi przygotowanymi przez Wykonawcę pokazującymi sposób użytkownika ARBUZA. Materiały te nie są jednak ogólnodostępne.","Prezes UOKiK nie gromadzi danych w zakresie wskazanym w tym punkcie wniosku. Niemniej są to dane ogólnodostępne, możliwe do samodzielnego pozyskania.","Nie","Ośrodek Przetwarzania Informacji – Państwowy Instytut Badawczy","1.450.000,00 zł (słownie: jeden milion czterysta pięćdziesiąt tysięcy złotych).","System nie generuje dodatkowych kosztów po stronie Urzędu."," System Arbuz nie korzysta z licencji."," System Arbuz nie korzysta z licencji."
"Urząd Patentowy Rzeczypospolitej Polskiej","Autopatent","Klasyfikacja dokumentów","System, wspomaga proces badania zgłoszeń wynalazków i wzorów użytkowych, dokonując wstępnej analizy i klasyfikacji zgłoszeń do klas IPC oraz przydziela je do oceny merytorycznej właściwym ekspertom.","Do klasyfikacji zgłoszeń do klas IPC.","Ryzyko minimalne","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Inne: System a także jego dokumentacja techniczna wykorzystywane są wyłącznie na potrzeby wewnętrznej organizacji pracy.","https://uprp.gov.pl/sites/default/files/2019-12/3_2019_KWARTALNIK.pdf","Nie","Pan Jakub Białek","330 000 zł","19 000 zł","Urząd posiada prawa autorskie do systemu.","Urząd posiada prawa autorskie do systemu."
"Urząd Miasta Warszawa","Portal Głosowy","wyspecjalizowany informacyjny asystent głosowy","System udziela osobom dzwoniącym informacji o rozkładach jazdy i ulgach biletowych, a w zakresie pozostałych informacji łączy w operatorami infolinii Warszawa 19115. Działa 24/7. Jest telefonicznym systemem informacyjnym i zaawansowanym systemem dialogowym wykorzystującym algorytmy i architektury sieci neuronowych, zintegrowany z technologiami automatycznego rozpoznawania mowy i syntezy mowy. Portal umożliwia prowadzenie wielu rozmów równolegle, obsługuje język polski, jest samoadaptacyjny i niezależny od mówcy. W jednym stanie dialogu jest w stanie rozpoznawać 10 000 słów.","automatyczne rozpoznawanie i synteza mowy (ASR/TTS), interpretacja zapytań użytkownika, dostęp do danych o rozkładach jazdy i ulgach biletowych, generowanie głosowych odpowiedzi informacyjnych","Ryzyko ograniczone","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Nie","https://warszawa19115.pl/-/portal-glosowy","Nie","Primespeech Łukasz Brocki","UM nie ponosił i nie ponosi tych kosztów, korzysta z Portalu Głosowego na zasadzie usługi.","Koszty utrzymania nie przekraczają 159 777 zł brutto rocznie.","W ramach obecnej umowy od 1 sierpnia 2025 r. ","W ramach obecnej umowy do 31 lipca 2026 r. "
"Urząd Miasta Włocławek","kontrola dostępu","rozpoznawanie tablic rejestacyjnych","sterowanie dostępem do parkingu wewnętrznego","Rozpoznawannie tablic rejestracyjnych pojazdów - mechanizm LPR (license plate recognition)","Nie przeprowadzono","Nie","Nie, z innych powodów.","Nie","Organ nie posiada informacji","Nie","Provision ISR","22596,72","0","12.2024","bezterminowo"
"Urząd Miasta Włocławek","Robot do faktur","Analiza faktur za energię elektryczną","Robotyzacja procesu pozyskiwania, dystrybucji i archiwizacji dokumentów za energię elektryczną od sprzedawcy oraz dystrybutora dla jednostek organizacyjnych Gminy Miasto Włocławek z pozyskaniem i archiwizacją danych z tych dokumentów.","RPA (Robotic Process Automation) loguje się do portali  eBOK lub do poczty gdzie sprzedawcy i dystrybutor energii elektrycznej minimum raz dziennie od poniedziałku do piątku  i pobiera dokumenty, które nie zostały pobrane od ostatniego logowania. Pobierane są dokumenty tj.:  faktury, wezwania do zapłaty, noty dotyczące kar umownych, noty odsetkowe i inne dokumenty  dostępne do pobrania. Dokumenty mają zostać pobrane w formacie źródłowym pod unikalną nazwą  zawierającą przynajmniej nr dokumentu tak, aby możliwa była ich dalsza obróbka i pozyskanie danych.","Nie przeprowadzono","Nie","Nie, z innych powodów.","szkolenie z zakresu funkcjonowania i obsługi","https://forprogress.com.pl/","Nie","ForProgress Piotr Ślęzak sp.k.","49394,52","47730,00","31.03.2024","Umowa odnawiana corocznie na 12 miesięcy"
"Urząd Miasta Włocławek","GravityZone Business Security","Ochrona antywirusowa stanowisk komputerowych","GravityZone Business Security to system ochrony komputerów szkolych. Wykorzystuje sztuczną inteligencję i uczenie maszynowe do wykrywania i blokowania wirusów, ransomware oraz innych zagrożeń w czasie rzeczywistym. Działa wielowarstwowo – analizuje zachowania aplikacji, chroni sieć i dane. Administratorzy zarządzają wszystkim z jednej konsoli, co ułatwia kontrolę bezpieczeństwa i szybkie reagowanie na incydenty.","W systemie GravityZone Business Security sztuczna inteligencja jest wykorzystywana do analizy zachowań plików, procesów i ruchu sieciowego, aby wykrywać zagrożenia, także te wcześniej nieznane. AI wspiera procesy ochrony, wykrywania i reagowania na incydenty, automatycznie blokując podejrzane działania i izolując zainfekowane urządzenia.","Ryzyko minimalne","Nie","Nie, z innych powodów.","Nie","Organ nie posiada informacji","Nie","Marken Systemy Antywirusowe Marek Markowski","1228,77 ","0","7 czerwca 2025","7 czerwca 2026"
"Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","System Informacji Prawnej Lex","narzędzie do wyszukiwania i analizy informacji prawnych","narzędzie do wyszukiwania i analizy informacji prawnych","elementy AI wspomagają wyszukiwanie i podsumowania.","Nie przeprowadzono","Nie","Nie, z innych powodów.","Nie","Organ nie posiada informacji","nie posiadamy informacji o nazwach/wersjach modeli używanych wewnątrz produktów komercyjnych","Wolters Kluwer","funkcje AI zostały udostępnione w ramach posiadanych licencji/aktualizacji","brak dodatkowych, wyodrębnionych kosztów po stronie organu.","funkcje AI są częścią licencji na całe produkty; nie prowadzimy odrębnych terminów dla samych funkcji AI.","funkcje AI są częścią licencji na całe produkty; nie prowadzimy odrębnych terminów dla samych funkcji AI."
"Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","Cisco Webex"," platforma wideokonferencyjna"," platforma wideokonferencyjna","elementy AI do transkrypcji i podsumowań spotkań","Nie przeprowadzono","Nie","Nie, z innych powodów.","Nie","Organ nie posiada informacji","nie posiadamy informacji o nazwach/wersjach modeli używanych wewnątrz produktów komercyjnych.","Cisco","funkcje AI zostały udostępnione w ramach posiadanych licencji/aktualizacji; brak dodatkowych, wyodrębnionych kosztów po stronie organu.","funkcje AI zostały udostępnione w ramach posiadanych licencji/aktualizacji; brak dodatkowych, wyodrębnionych kosztów po stronie organu.","funkcje AI są częścią licencji na całe produkty; nie prowadzimy odrębnych terminów dla samych funkcji AI.","funkcje AI są częścią licencji na całe produkty; nie prowadzimy odrębnych terminów dla samych funkcji AI."
"Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","FortiGate/FortiGuard","zapora sieciowa i usługi bezpieczeństwa;","zapora sieciowa i usługi bezpieczeństwa;","elementy AI do wykrywania anomalii i zagrożeń.","Nie przeprowadzono","Nie","Nie, z innych powodów.","Nie","Organ nie posiada informacji","nie posiadamy informacji o nazwach/wersjach modeli używanych wewnątrz produktów komercyjnych.","Fortinet","funkcje AI zostały udostępnione w ramach posiadanych licencji/aktualizacji; brak dodatkowych, wyodrębnionych kosztów po stronie organu.","funkcje AI zostały udostępnione w ramach posiadanych licencji/aktualizacji; brak dodatkowych, wyodrębnionych kosztów po stronie organu.","funkcje AI są częścią licencji na całe produkty; nie prowadzimy odrębnych terminów dla samych funkcji AI.","funkcje AI są częścią licencji na całe produkty; nie prowadzimy odrębnych terminów dla samych funkcji AI."
"Zakład Ubezpieczeń Społecznych","SOS AI _ Komponent klasyfikacji przy użyciu modeli predykcyjnych","Komponent jest przeznaczony do kontroli zwolnień lekarskich e-ZLA.","W ramach standaryzacji procesu związanego z wybieraniem - przez lekarzy orzecznictwa lekarskiego Zakładu -  zaświadczeń lekarskich do kontroli wykorzystywane jest narzędzie analityczne do systemowego (wstępnego) typowania zaświadczeń lekarskich do kontroli, wykorzystujące rozszerzony zakres danych, które mogą wskazywać
na prawdopodobieństwo wystąpienia nieprawidłowości w orzeczeniu czasowej niezdolności do pracy i wystawieniu zaświadczenia lekarskiego. Należy podkreślić, że każdorazowa decyzja o podjęciu kontroli danego zaświadczenia (w tym o sposobie przeprowadzenia kontroli) należy do lekarza i jest poprzedzona analizą danych odnoszących się do wartości ww. prawdopodobieństwa oraz innych okoliczności dotyczących danego zaświadczenia lekarskiego - w szczególności przesłanek medycznych do podjęcia kontroli.","Funkcjonalność komponentu wspierająca realizację zadań w procesie kontroli zaświadczeń lekarskich nie jest oparta na rozwiązaniu wykorzystującym sztuczną inteligencję AI w znaczeniu o jakim mowa w Rozporządzeniu AI Act.","Nie przeprowadzono","W ramach prac oraz wdrożenia projektu w zakresie którego było m.in. przygotowanie i wdrożenie narzędzia analitycznego wspierającego proces typowania zaświadczeń lekarskich do kontroli została przeprowadzona ocena skutków dla ochrony danych (DPiA). Ww. ocena nie jest dostępna pod publicznym linkiem, o którym mowa we wniosku.","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Odnosząc się do żądania wskazania linku lub linków do publicznego zasobu zawierającego podręcznik użytkownika/instrukcję, informuję, że dokumenty te nie są udostępniane w formie publicznego dostępu i nie istnieje żaden publiczny adres internetowy, pod którym byłyby one dostępne. W związku z tym nie jest możliwe udostepnienie ich w żądanej formie.     Niezależnie od powyższego należy wskazać, że żądane dokumenty nie stanowią informacji publicznej w rozumieniu przepisów ustawy o udostępnienie informacji publicznej z dnia 6 września 2001 roku (Dz. U. z 2022 r., poz. 902, zwana dalej u.d.i.p.)  Dokumenty te mają charakter dokumentów wewnętrznych, a nie urzędowych, wymienionych art. 6 ust. 2 u.d.i.p. i tym samym nie podlegają udostępnieniu na zasadach i w trybie przepisów powołanej ustawy.     W orzecznictwie sądowym przyjmuje się, że informację publiczną stanowi treść dokumentów urzędowych czy wystąpień i ocen dokonywanych przez organy władzy publicznej, niezależnie do jakiego podmiotu są one kierowane i jakiej sprawy dotyczą. Dokumentem urzędowym jest każdy dokument, który ma jakiekolwiek znaczenie dla ukształtowania treści późniejszego oświadczenia woli lub wiedzy, a zatem obejmuje różnego rodzaju dokumenty związane z wykonywaniem kompetencji i zadań publicznych. Dlatego nie każdy dokument wytworzony przez podmioty zobowiązane do udzielenia informacji publicznej staje się informacją publiczną.     Dokumenty, które mają charakter roboczy, koncepcyjny, wytworzony tylko na potrzeby danego podmiotu, nie podlegają udostępnieniu w trybie u.d.i.p. (zob. wyrok NSA z dnia 28 lutego 2020 r., sygn. akt I OSK 3211/18). W literaturze i orzecznictwie sądowoadministracyjnym na gruncie stosowania u.d.i.p. utrwaliło się pojęcie ""dokumentu wewnętrznego"" jako dokumentu, który nie stanowi informacji publicznej. Terminu tego używa się dla określenia dokumentów, które nie są skierowane do podmiotów zewnętrznych, służą wprawdzie realizacji jakiegoś zadania publicznego, ale nie przesądzają o kierunkach działania organu. Dokumenty takie służą wymianie informacji, zgromadzeniu niezbędnych materiałów, uzgadnianiu poglądów i stanowisk, mogą wskazywać zasady działania w określonych sytuacjach, mogą też być fragmentem przygotowań do powstania aktu będącego formą działalności danego podmiotu (por. wyroki NSA z dnia 18 sierpnia 2010 r., sygn. akt I OSK 851/10, z dnia 21 czerwca 2012 r., sygn. akt I OSK 666/12, z dnia 4 kwietnia 2019 r., sygn. akt I OSK 1709/17) ). Mogą mieć dowolną formę, nie są  wiążące co do sposobu załatwienia sprawy, nie są w związku z tym wyrazem stanowiska organu, nie stanowią więc informacji publicznej"" (tak też wyrokach NSA: z dnia 14 września 2012 r., sygn. akt 1203/12; z dnia 17 października 2013 r., sygn. akt I OSK 1105/13).     Należy podkreślić, że również w doktrynie zauważa się, iż organ w procesie podejmowania swoich rozstrzygnięć musi mieć zagwarantowaną pewną sferę swobody i dyskrekcji, w ramach której może gromadzić informacje, rozważać różne, często odmienne rozwiązania, sporządzać projekty dokumentów, czy też w sposób całkowicie nieoficjalny utrwalać przebieg dyskusji na wyborem najlepszego rozwiązania (zob. wyrok WSA w Olsztynie z dnia 15 maja 2018 r., sygn. akt I OSK Ol 29/18).     Również w orzecznictwie Trybunału Konstytucyjnego, przyjęto że dokumenty wewnętrzne podlegają wyłączeniu z szerokiego zakresu przedmiotowego informacji publicznej (wyrok TK z dnia 13 listopada 2013 r., sygn. akt P 25/12).     Dokument wewnętrzny służy jedynie użytkowi wewnętrznemu, nie przesądza o kierunkach działania organu w konkretnej sprawie, służy jedynie wymianie informacji między pracownikami, określa zasady ich działania w określonych sytuacjach. Wytworzone przez podmiot zobowiązany do udzielenia informacji publicznej, ale służące jedynie poprawie jego funkcjonowania dokumenty nie są informacją publiczną. Cechą takiego dokumentu jest bowiem to, ze zostają wytworzone tylko na potrzeby podmiotu, który je wytworzył i nie przedstawiają jego stanowiska na zewnątrz, nie zostają bezpośrednio wykorzystane w szeroko rozumianym procesie decyzyjnym (zob. wyrok NSA z dnia 28 lutego 2020 r., sygn. akt I OSK 3211/18).     Mając powyższe na uwadze, należy stwierdzić, że żądane przez Pana materiały – podręcznik użytkownika/instrukcja, zostały wytworzone przez Organ wyłącznie dla własnych potrzeb, stanowią dokumenty wewnętrzne i nie podlegają udostępnieniu na podstawie przepisów ustawy o dostępie do informacji publicznej.","Informuję, że według wiedzy Organu, w publicznie dostępnych zasobach Internetu nie ma wzmianek, opisów ani dokumentów dotyczących ww. systemu. Tym samym nie istnieją żadne linki, które mogłyby zostać Państwu udostępnione.  Należy wyjaśnić, iż zgodnie z przepisem art. 4 ust. 3 ustawy z dnia 6 września 2001 r. o dostępie do informacji publicznej (Dz.U. z 2022 r. poz. 902), dalej u.d.i.p.,  do udostępnienia informacji publicznej zobowiązane są jedynie te podmioty, które znajdują się w posiadaniu wnioskowanych informacji.","Nie","Asseco Poland S.A.","Koszty wytworzenia i wdrożenia - całkowite łączne koszty brutto ponoszone po stronie organu wyniosły 5 315 359,68 zł.","W ramach utrzymania realizowana jest obsługa serwisowa objęta metryką. Koszt metryki brutto wyniósł 44006,94 zł.","Okres obowiązywania licencji jest bezterminowy.","Okres obowiązywania licencji jest bezterminowy."
"Urząd Miasta Zgierza","ANIA","Chatbot informacyjny udostępniający mieszkańcom informacje publiczne miasta Zgierz.","Widget na stronie miasta pozwala zadawać pytania. Zapytania zapisują się na serwerach dostawcy systemu. System korzysta z dokumentów publicznych z BIP i stron UM Zgierz (wybrane podstrony), a następnie przesyła wzbogacone pytanie do modelu OpenAI, który generuje odpowiedź. Rozwiązanie ułatwia mieszkańcom dostęp do aktualnych i oficjalnych informacji.","Model językowy OpenAI generuje odpowiedzi w schemacie RAG na podstawie kontekstu z publicznych materiałów BIP i stron UM Zgierz.","Ryzyko minimalne","System przetwarza treść zapytań, ale wykorzystuje wyłącznie publiczne źródła danych po stronie RAG. Nie pyta o podanie żadnych danych osobowych.","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Nie","Informacja o wdrożeniu na stronie miasta.","ChatGPT – OpenAI","Wrocławski Instytut Zastosowań Informacji Przestrzennej i Sztucznej Inteligencji sp. z o.o., ul. C. K. Norwida 9/2, 50-374 Wrocław – wykonawca i integrator systemu.","28 831,20 zł brutto","17 835,00 zł brutto","31.08.2023 r. ","Bezterminowa (opłacane wsparcie i dostęp do aktualizacji)."
